Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot,Goal 1: End poverty in all its forms everywhere,https://api.worldbank.org/v2/countries/all/indicators/per_si_allsi.cov_q2_tot?date=0000:2017&format=json&per_page=30000,https://api.worldbank.org/v2/indicators/per_si_allsi.cov_q2_tot?format=json,https://data.worldbank.org/indicator/per_si_allsi.cov_q2_tot,CC BY-4.0,"Coverage of social insurance programs shows the percentage of population participating in programs that provide old age contributory pensions (including survivors and disability) and social security and health insurance benefits (including occupational injury benefits, paid sick leave, maternity and other social insurance). Estimates include both direct and indirect beneficiaries.","ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",
Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,Goal 1: End poverty in all its forms everywhere,https://api.worldbank.org/v2/countries/all/indicators/per_si_allsi.cov_q3_tot?date=0000:2017&format=json&per_page=30000,https://api.worldbank.org/v2/indicators/per_si_allsi.cov_q3_tot?format=json,https://data.worldbank.org/indicator/per_si_allsi.cov_q3_tot,CC BY-4.0,"Coverage of social insurance programs shows the percentage of population participating in programs that provide old age contributory pensions (including survivors and disability) and social security and health insurance benefits (including occupational injury benefits, paid sick leave, maternity and other social insurance). Estimates include both direct and indirect beneficiaries.","ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",
Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot,Goal 1: End poverty in all its forms everywhere,https://api.worldbank.org/v2/countries/all/indicators/per_si_allsi.cov_q4_tot?date=0000:2017&format=json&per_page=30000,https://api.worldbank.org/v2/indicators/per_si_allsi.cov_q4_tot?format=json,https://data.worldbank.org/indicator/per_si_allsi.cov_q4_tot,CC BY-4.0,"Coverage of social insurance programs shows the percentage of population participating in programs that provide old age contributory pensions (including survivors and disability) and social security and health insurance benefits (including occupational injury benefits, paid sick leave, maternity and other social insurance). Estimates include both direct and indirect beneficiaries.","ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",
Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,Goal 1: End poverty in all its forms everywhere,https://api.worldbank.org/v2/countries/all/indicators/per_si_allsi.cov_q1_tot?date=0000:2017&format=json&per_page=30000,https://api.worldbank.org/v2/indicators/per_si_allsi.cov_q1_tot?format=json,https://data.worldbank.org/indicator/per_si_allsi.cov_q1_tot,CC BY-4.0,"Coverage of social insurance programs shows the percentage of population participating in programs that provide old age contributory pensions (including survivors and disability) and social security and health insurance benefits (including occupational injury benefits, paid sick leave, maternity and other social insurance). Estimates include both direct and indirect beneficiaries.","ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",
Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot,Goal 1: End poverty in all its forms everywhere,https://api.worldbank.org/v2/countries/all/indicators/per_si_allsi.cov_q5_tot?date=0000:2017&format=json&per_page=30000,https://api.worldbank.org/v2/indicators/per_si_allsi.cov_q5_tot?format=json,https://data.worldbank.org/indicator/per_si_allsi.cov_q5_tot,CC BY-4.0,"Coverage of social insurance programs shows the percentage of population participating in programs that provide old age contributory pensions (including survivors and disability) and social security and health insurance benefits (including occupational injury benefits, paid sick leave, maternity and other social insurance). Estimates include both direct and indirect beneficiaries.","ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",
Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,Goal 1: End poverty in all its forms everywhere,https://api.worldbank.org/v2/countries/all/indicators/per_sa_allsa.cov_pop_tot?date=0000:2017&format=json&per_page=30000,https://api.worldbank.org/v2/indicators/per_sa_allsa.cov_pop_tot?format=json,https://data.worldbank.org/indicator/per_sa_allsa.cov_pop_tot,CC BY-4.0,"Coverage of social safety net programs shows the percentage of population participating in cash transfers and last resort programs, noncontributory social pensions, other cash transfers programs (child, family and orphan allowances, birth and death grants, disability benefits, and other allowances), conditional cash transfers, in-kind food transfers (food stamps and vouchers, food rations, supplementary feeding, and emergency food distribution), school feeding, other social assistance programs (housing allowances, scholarships, fee waivers, health subsidies, and other social assistance) and public works programs (cash for work and food for work). Estimates include both direct and indirect beneficiaries.","ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm)."
Coverage of social safety net programs in 2nd quintile (% of population),per_sa_allsa.cov_q2_tot,Goal 1: End poverty in all its forms everywhere,https://api.worldbank.org/v2/countries/all/indicators/per_sa_allsa.cov_q2_tot?date=0000:2017&format=json&per_page=30000,https://api.worldbank.org/v2/indicators/per_sa_allsa.cov_q2_tot?format=json,https://data.worldbank.org/indicator/per_sa_allsa.cov_q2_tot,CC BY-4.0,"Coverage of social safety net programs shows the percentage of population participating in cash transfers and last resort programs, noncontributory social pensions, other cash transfers programs (child, family and orphan allowances, birth and death grants, disability benefits, and other allowances), conditional cash transfers, in-kind food transfers (food stamps and vouchers, food rations, supplementary feeding, and emergency food distribution), school feeding, other social assistance programs (housing allowances, scholarships, fee waivers, health subsidies, and other social assistance) and public works programs (cash for work and food for work). Estimates include both direct and indirect beneficiaries.","ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Food and Agriculture Organization (http://www.fao.org/publications/en/).
Coverage of social safety net programs in 3rd quintile (% of population),per_sa_allsa.cov_q3_tot,Goal 1: End poverty in all its forms everywhere,https://api.worldbank.org/v2/countries/all/indicators/per_sa_allsa.cov_q3_tot?date=0000:2017&format=json&per_page=30000,https://api.worldbank.org/v2/indicators/per_sa_allsa.cov_q3_tot?format=json,https://data.worldbank.org/indicator/per_sa_allsa.cov_q3_tot,CC BY-4.0,"Coverage of social safety net programs shows the percentage of population participating in cash transfers and last resort programs, noncontributory social pensions, other cash transfers programs (child, family and orphan allowances, birth and death grants, disability benefits, and other allowances), conditional cash transfers, in-kind food transfers (food stamps and vouchers, food rations, supplementary feeding, and emergency food distribution), school feeding, other social assistance programs (housing allowances, scholarships, fee waivers, health subsidies, and other social assistance) and public works programs (cash for work and food for work). Estimates include both direct and indirect beneficiaries.","ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)","WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Trends in Maternal Mortality: 1990 to 2015. Geneva, World Health Organization, 2015"
Coverage of social safety net programs in 4th quintile (% of population),per_sa_allsa.cov_q4_tot,Goal 1: End poverty in all its forms everywhere,https://api.worldbank.org/v2/countries/all/indicators/per_sa_allsa.cov_q4_tot?date=0000:2017&format=json&per_page=30000,https://api.worldbank.org/v2/indicators/per_sa_allsa.cov_q4_tot?format=json,https://data.worldbank.org/indicator/per_sa_allsa.cov_q4_tot,CC BY-4.0,"Coverage of social safety net programs shows the percentage of population participating in cash transfers and last resort programs, noncontributory social pensions, other cash transfers programs (child, family and orphan allowances, birth and death grants, disability benefits, and other allowances), conditional cash transfers, in-kind food transfers (food stamps and vouchers, food rations, supplementary feeding, and emergency food distribution), school feeding, other social assistance programs (housing allowances, scholarships, fee waivers, health subsidies, and other social assistance) and public works programs (cash for work and food for work). Estimates include both direct and indirect beneficiaries.","ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
Coverage of social safety net programs in poorest quintile (% of population),per_sa_allsa.cov_q1_tot,Goal 1: End poverty in all its forms everywhere,https://api.worldbank.org/v2/countries/all/indicators/per_sa_allsa.cov_q1_tot?date=0000:2017&format=json&per_page=30000,https://api.worldbank.org/v2/indicators/per_sa_allsa.cov_q1_tot?format=json,https://data.worldbank.org/indicator/per_sa_allsa.cov_q1_tot,CC BY-4.0,"Coverage of social safety net programs shows the percentage of population participating in cash transfers and last resort programs, noncontributory social pensions, other cash transfers programs (child, family and orphan allowances, birth and death grants, disability benefits, and other allowances), conditional cash transfers, in-kind food transfers (food stamps and vouchers, food rations, supplementary feeding, and emergency food distribution), school feeding, other social assistance programs (housing allowances, scholarships, fee waivers, health subsidies, and other social assistance) and public works programs (cash for work and food for work). Estimates include both direct and indirect beneficiaries.","ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Inter-Parliamentary Union (IPU) (www.ipu.org).
